6.993894987021417364e+01,7.179619474392742973e+01,7.316672449893391672e+01
6.842823054545455363e+01,7.254664093216780429e+01,7.519712277185503524e+01
7.381056519754170608e+01,7.580978517412935958e+01,7.644533616699114020e+01
7.504300368744513605e+01,7.782406359630419956e+01,7.886454306619079091e+01
7.542364500438981167e+01,7.990821048329780751e+01,8.053708717283150520e+01
7.656139258413814730e+01,8.082887146410803325e+01,8.198798898983345396e+01
8.479102409999998713e+01,8.644924577872340876e+01,8.703359040000002267e+01
8.721172320000000866e+01,8.744521335319149102e+01,8.692412287135751114e+01
8.762414913191489063e+01,8.979971039999999505e+01,8.787515383084577536e+01
8.688254949771602753e+01,8.838891422174840784e+01,8.994612129060580230e+01
9.242878332792558638e+01,9.426629506877378617e+01,9.446787221037669724e+01
